Order ID,Error
581729473,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581729473 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e6780>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581726948,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581726948 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7ad0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581726757,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581726757 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b77d0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581726521,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581726521 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b02f0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581725509,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581725509 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057e30>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581725500,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581725500 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055d60>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581725437,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581725437 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040578c0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581725373,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581725373 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055e50>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581722760,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581722760 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104056f60>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718839,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718839 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b3ad0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718830,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718830 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6d80>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718521,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718521 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7830>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718480,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718480 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6240>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718470,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718470 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e7080>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718449,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718449 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b66f0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581718403,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581718403 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b4ef0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581716903,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581716903 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0e90>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581715310,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581715310 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040568a0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581713067,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581713067 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104056660>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581712954,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581712954 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e7890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581712806,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581712806 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104054ec0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581709878,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581709878 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104056ab0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581709806,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581709806 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b04d0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581709723,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581709723 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104080740>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581708146,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581708146 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6d20>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581707414,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581707414 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6db0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581707367,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581707367 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1029a2e40>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581707168,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581707168 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7530>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581706934,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581706934 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104081cd0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581706197,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581706197 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0ad0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581699303,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581699303 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581698592,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581698592 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057a70>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581698429,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581698429 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e5160>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581697462,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581697462 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040574d0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581696780,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581696780 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040579e0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581696748,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581696748 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b3ad0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581693278,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581693278 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040805f0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581693092,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581693092 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7530>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581692636,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581692636 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7920>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581692499,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581692499 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b5310>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581692477,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581692477 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7e60>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581692433,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581692433 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040802f0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581692327,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581692327 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b3a10>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
